,Company_Name,Rating,Customer_service_Phone,E_mail,Bussiness_Type,Bussiness_Name,Trade_Registration_number,VAT_Number,Phone_Number,Addresses
17,THODI-SHOPPING,85% positive in the last 12 months (633 ratings),01-573-164-0122,['thodi-shopping@web.de'],Privately-owned business,THODI UG (haftungsbeschränkt),HRB95261,DE305493258,Business Address:,"['Thodi Ug', 'Ostendstr 13', 'Pfungstadt', 'Hessen', '64319', 'DE']"
18,Wasser- und Gartenoase Handels e.U.,85% positive in the last 12 months (27 ratings),not found,[],FN 499257 b,Privately-owned business,DE340544933,Birgit Gertrude Rafetseder,not found,"['Waagner-Biro-Straße 47/ Top 1', 'Graz', 'Steiermark', '8020', 'AT', 'Waagner-Biro-Straße 47/ Top 1']"
19,poolladen,76% positive in the last 12 months (2029 ratings),+49231397200,[],Privately-owned business,Pool und Sauna Braeunig GmbH,HRB 26662,DE296013346,+49231397200,"['Meinhardstr. 6', 'Meinhardstraße 6', 'Dortmund', '44379', 'DE']"
20,"FHS-Team (Preis mit MwSt, AGB/Widerruf)",85% positive in the last 12 months (146 ratings),0-343-770-2468,['info@fhs24.com'],Privately-owned business,FHS Fachgroßhandel Heizung-Sanitär GmbH,HRB34779,DE158465272,03437 702468,"['August-Bebel-Straße', '42', 'Grimma', '04668', 'DE', 'August-Bebel-Straße']"
21,Koiland Kehr,95% positive in the last 12 months (40 ratings),0-268-995-9885,['mailto@koiinfo.de'],Privately-owned business,"Koiland Kehr, Inhaberin: Anja Kehr",keine Eintragung,DE230243563,02689959885,"['Koiland Kehr', 'Werkstr. 4', 'Kleinmaischeid', '56271', 'DE']"
22,Koi-und Bonsaipark Herdecke GmbH,92% positive in the last 12 months (372 ratings),02-331-923-1775,"['info@koi-herdecke.de', 'info@koi-herdecke.de']",Privately-owned business,Koi-und Bonsaipark Herdecke GmbH,HRB 8340,DE267592804,02331-9231775,"['Hochofenstrasse 16', 'Hagen', 'Nord Rhein Westfalen', '58135', 'DE', 'Hochofenstrasse 16']"
23,shop-ar,91% positive in the last 12 months (6322 ratings),0-412-126-1250,['info@sport-ar.de'],Privately-owned business,AR E-Commerce Trading UG (haftungsbeschränkt),HRB 13881 PI,DE319528422,04121 261250,"['Rostock-Koppel 37', 'Klein Offenseth-Sparrieshoop', '25365', 'DE', 'Rostock-Koppel 37', 'Klein Offenseth-Sparrieshoop']"
24,Lux-Tor,89% positive in the last 12 months (1520 ratings),0-405-326-8852,['info@luxtor.de'],Privately-owned business,Transhansa GmbH,98144,DE250431022,04053268852,"['Herlingsburg 16', 'Hamburg', '22529', 'DE', 'Herlingsburg 16', 'Hamburg']"
25,POWERHAUS24,97% positive in the last 12 months (1255 ratings),+498980072802,['info@mde.gmbh'],Privately-owned business,MDE GmbH & Co. KG,101892,DE815489149,+498980072802,"['Benzstr. 20', 'Puchheim', 'Bayern', '82178', 'DE', 'Benzstraße 20']"
26,Bürohengst,91% positive in the last 12 months (1218 ratings),0-333-130-1050,[],Privately-owned business,Bürohengst GmbH,10666 NP,DE295142572,03331-301050,"['Wilhelmsfelder Str. 1a', 'Angermünde', 'Brandenburg', '16278', 'DE', 'Wilhelmsfelder Str. 1a']"
27,not found,not found,not found,[],not found,not found,not found,not found,not found,[]
28,Mega-Paradies GmbH,94% positive in the last 12 months (2650 ratings),06-126-957-9620,['nachfrage@suesswaren-paradies.de'],Privately-owned business,Mega-Paradies GmbH,5530,DE815749398,061269579620,"['Am Frauwald 12', 'Idstein', 'Hessen', '65510', 'DE', 'Am Frauwald']"
